,Dataset,Affect,MSE,R^2,MAE,STD,THRES
0,Train,Arousal,0.035250339291154224,0.9710053326438854,0.10317902756225654,0.1568579853321511,98.31649831649831
1,Train,Valence,0.028231285783936584,0.978553079270171,0.07773494342898389,0.14895826379905633,98.65319865319866
2,Test,Arousal,1.5643058046079152,-0.13495503726145364,1.0441471107625346,0.6885220517123372,37.324744221295944
3,Test,Valence,1.179129496014679,0.05067155853997962,0.8361004994437655,0.6928675564958751,52.82303902993558
4,Test,Total,1.3717176503112967,-0.04214173936073429,0.9401238051031502,0.6984875670974189,24.971580143993936
