,Dataset,Affect,MSE,R^2,MAE,STD,THRES
0,Train,Arousal,0.039472221663242095,0.9694953368949483,0.11390979648419639,0.16277831528852688,98.31649831649831
1,Train,Valence,0.027233411955556956,0.978944102949583,0.08062175062822217,0.14399147641856344,98.65319865319866
2,Test,Arousal,1.2358550893653184,0.1033813142940525,0.9568603531999816,0.5659269863147762,36.122971818958156
3,Test,Valence,0.9663355696648406,0.21995060993559645,0.7526435886166605,0.6323473714494872,57.771135781383435
4,Test,Total,1.1010953295150783,0.1616659621148261,0.8547519709083211,0.6086825098057445,23.441502988898378
