,Dataset,Affect,MSE,R^2,MAE,STD,THRES
0,Train,Arousal,0.025803310781899944,0.9742973680640808,0.08023451651683881,0.13916081755008863,98.7012987012987
1,Train,Valence,0.03219591249495502,0.9777839000125684,0.06887736602791986,0.16568591051749385,98.05194805194805
2,Test,Arousal,1.4502965582849985,-0.04975817323325371,1.0677804728758136,0.5569034207383742,28.00143781452193
3,Test,Valence,1.1400891114117204,0.07951706155290716,0.8467293953726157,0.6504909241670055,51.00647016534867
4,Test,Total,1.2951928348483601,0.014879444159826616,0.9572549341242149,0.6155126529513467,16.606757728253054
