,Dataset,Affect,MSE,R^2,MAE,STD,THRES
0,Train,Arousal,0.030449632447213788,0.9777080801054753,0.10205011303433961,0.14154648309616277,99.32157394843962
1,Train,Valence,0.023167412002206216,0.9818028223408584,0.07694907305334006,0.1313249868015906,99.32157394843962
2,Test,Arousal,1.1497759090985211,0.15451676396082037,0.9177340905015754,0.5545629344175176,38.88130968622101
3,Test,Valence,1.0035238358464371,0.19196701331389743,0.7535174341917696,0.6601025012946771,56.84402000909504
4,Test,Total,1.076649872472479,0.17324188863735973,0.8356257623466725,0.6151255626089861,27.330604820372898
