,Dataset,Affect,MSE,R^2,MAE,STD,THRES
0,Train,Arousal,0.03226912720823579,0.9763108349332589,0.10841230296964846,0.1432337242867508,99.11141490088859
1,Train,Valence,0.023699743619069406,0.9809785793942015,0.08030560322359821,0.131342124659088,99.24812030075188
2,Test,Arousal,0.6921938769370188,0.49157474097129794,0.6868979013564006,0.4694306658593911,56.07603530210455
3,Test,Valence,0.6529974392315812,0.4789839288979749,0.5710040015672434,0.5717970526557273,69.99321113374067
4,Test,Total,0.6725956580842996,0.48527933493463515,0.628950951461822,0.526323435483894,43.04141208418194
