,Dataset,Affect,MSE,R^2,MAE,STD,THRES
0,Train,Arousal,0.03487277931643834,0.9751230397944357,0.1141807218889691,0.1477685422048693,99.08069458631256
1,Train,Valence,0.02301020192003,0.9817050648073563,0.08366599003911224,0.12653143495118188,99.48927477017365
2,Test,Arousal,1.0126391986745036,0.24507254338574058,0.8599287734225385,0.5226487379823203,42.973939703628005
3,Test,Valence,0.8354250687990307,0.3293869423526026,0.6864700043826417,0.6034765959686642,59.274399591211036
4,Test,Total,0.9240321337367664,0.2872297428691714,0.7731993889025897,0.5711346940411064,27.95094532447624
