,feature_importance
0,0.06987168618503233
1,0.0
2,0.014457478224067313
3,0.0
4,0.0
5,0.0
6,0.002190106628937086
7,0.0
8,0.001797085067478698
9,0.0
10,0.02146017479240971
11,0.0
12,0.024572194391024413
13,0.0
14,0.02435125641565442
15,0.0022629914343966486
16,0.0
17,0.0
18,0.0
19,0.0012177192443533142
20,0.0
21,0.0
22,0.017844523007420995
23,0.0013051909643152595
24,0.03133499614655369
25,0.0
26,0.0
27,0.001703718492198663
28,0.002766885924106474
29,0.0
30,0.0
31,0.0
32,0.0023771956132352823
33,0.0
34,0.0
35,0.0
36,0.0023506418703962335
37,0.023068371534687115
38,0.0
39,0.03429418195462412
40,0.0
41,0.0028630065967097463
42,0.0
43,0.0
44,0.0014015027824033134
45,0.0
46,0.024383465286043574
47,0.019541363010197096
48,0.0
49,0.0031984930576314245
50,0.0
51,0.012068387042798891
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0018658721899047197
57,0.017627894258545457
58,0.0
59,0.0
60,0.0
61,0.0
62,0.002410938662484554
63,0.0
64,0.0
65,0.057242071808092626
66,0.0
67,0.013846357046462325
68,0.0
69,0.0
70,0.0
71,0.0
72,0.021980401474403503
73,0.0
74,0.0019045188962672787
75,0.06610767570252145
76,0.003011472495229769
77,0.0
78,0.0
79,0.0
80,0.024813492274601823
81,0.0018562500904617343
82,0.0
83,0.0
84,0.07147873978163453
85,0.03151946829185353
86,0.0
87,0.0
88,0.0
89,0.0
90,0.04533628606809455
91,0.0
92,0.0
93,0.03138355115607912
94,0.0
95,0.0
96,0.0011539590163603993
97,0.0
98,0.0
99,0.0
100,0.001031290462394615
101,0.013365226715271588
102,0.09469212004197747
103,0.0
104,0.0
105,0.0014544542930883114
106,0.035221018881761684
107,0.0
108,0.0019502396636138343
109,0.023455254488074905
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.02212868905511676
120,0.047258033036863746
121,0.0
122,0.0
123,0.0011853168059017438
124,0.0
125,0.020412193394755914
126,0.0
127,0.001624598281506144
